,Date,Open,High,Low,Close,adj_close,Volume,upper,middle,lower,macd,macd_signal,macd_hist
30,2023-02-13,4321.0,4604.75,4250.0,4503.0498046875,4503.0498046875,318156,4523.161568735658,4260.227490234375,3997.2934117330924,,,
31,2023-02-14,4500.0,4580.0,4390.0,4496.9501953125,4496.9501953125,210856,4547.773242410688,4267.572509765625,3987.371777120562,,,
32,2023-02-15,4488.0,4529.0,4290.0,4420.0,4420.0,213728,4550.202258454113,4287.772509765625,4025.3427610771373,,,
33,2023-02-16,4448.0,4650.0,4380.0498046875,4415.0,4415.0,308589,4542.617855871809,4308.022509765625,4073.4271636594403,253.33811571274418,311.3316741762971,-57.993558463552915
34,2023-02-17,4409.0,4409.0,4120.0,4205.0,4205.0,345989,4542.7434697317985,4304.022509765625,4065.301549799451,222.69474848269147,293.604289037576,-70.90954055488453
35,2023-02-22,4284.0,4284.0,4141.0,4170.2001953125,4170.2001953125,194208,4537.990107314655,4294.23251953125,4050.4749317478445,193.37252764666573,273.55793675939395,-80.18540911272822
36,2023-02-23,4227.0,4329.0,4226.0,4324.0,4324.0,177644,4533.18108960904,4291.73251953125,4050.2839494534596,180.4645324636349,254.93925590024213,-74.47472343660723
37,2023-02-24,4309.0,4380.0,4210.0,4351.0,4351.0,140411,4525.931584155574,4288.83251953125,4051.7334549069265,170.44870110982356,238.0411449421584,-67.59244383233485
38,2023-02-27,4400.0,4485.0,4365.0,4465.0,4465.0,164366,4534.520343610742,4291.28251953125,4048.0446954517574,169.75312154646872,224.38354026302048,-54.63041871655176
39,2023-02-28,4461.0,4519.9501953125,4270.0,4358.5,4358.5,173134,4540.001501847733,4295.05751953125,4050.113537214768,158.77791679972142,211.26241557036067,-52.48449877063925
40,2023-03-01,4395.0,4454.0,4265.7998046875,4438.0,4438.0,216235,4552.199805989707,4309.610009765625,4067.0202135415443,154.71155505455226,199.952243467199,-45.24068841264673
41,2023-03-02,4452.7998046875,4460.0,4345.0,4345.0,4345.0,124278,4547.268225833868,4307.160009765625,4067.051793697381,142.34376103705927,188.43054698117106,-46.086785944111796
42,2023-03-03,4360.0,4460.0,4280.0,4430.0498046875,4430.0498046875,177442,4560.048981006972,4314.3125,4068.5760189930284,137.81634261053932,178.3077061070447,-40.491363496505386
